weekly_lms_logins,video_watch_pct,avg_quiz_score,assignment_completion_rate,avg_submission_delay_days,forum_posts_per_month,session_attendance_pct,gpa_trend,current_gpa,part_time_job,semester,dropout_risk
6.7,69.9,82.6,65.2,3.3,3,73.8,0.91,3.08,0,2,0
8.0,66.8,62.1,40.4,2.2,4,71.4,-0.12,2.77,0,1,0
3.7,52.2,74.7,100.0,1.3,4,58.6,0.74,3.51,0,3,0
5.4,56.0,61.8,34.9,1.7,7,51.6,-1.29,2.36,1,3,0
10.4,91.0,86.8,86.6,3.3,9,89.8,0.55,3.44,0,6,0
1.5,32.8,64.1,46.6,3.7,2,54.0,-0.1,3.16,0,4,0
10.6,64.7,84.5,71.3,1.4,8,92.0,1.14,3.13,0,7,0
3.8,43.1,77.9,52.6,4.7,11,81.5,-1.04,2.73,0,6,1
10.7,35.7,69.8,45.9,0.3,3,44.8,0.02,2.4,0,4,0
3.1,74.3,51.5,87.7,1.8,6,98.1,0.73,3.43,0,7,0
11.1,87.7,76.8,84.7,4.2,7,82.2,0.41,3.82,0,6,0
4.1,51.3,26.4,53.5,4.0,3,18.1,-0.51,3.2,1,2,0
7.3,66.3,60.2,90.9,2.8,3,52.1,-0.72,2.61,0,7,0
6.1,63.5,60.1,60.7,3.0,5,68.4,-0.47,2.24,0,2,0
4.7,33.4,59.1,57.8,6.0,4,54.2,-0.24,2.31,1,7,1
11.0,51.4,64.7,94.3,2.5,6,48.0,0.34,2.84,0,3,0
0.5,32.2,66.3,45.4,8.7,2,28.5,-0.51,2.47,0,8,1
5.1,77.5,55.3,73.9,3.1,5,48.9,-0.07,3.19,1,5,0
3.2,56.2,52.5,47.8,2.4,5,34.3,0.04,3.82,0,7,0
3.6,56.8,44.2,76.4,6.1,6,19.6,0.2,2.56,0,3,0
7.0,22.1,75.3,49.7,2.7,1,12.2,0.28,1.65,1,8,0
10.4,73.2,92.1,85.6,0.7,7,63.2,0.54,3.13,1,1,0
7.3,18.3,47.7,61.8,1.5,3,46.4,-0.81,2.64,0,5,0
9.3,41.5,48.9,49.8,3.4,5,74.3,-0.15,2.55,1,2,1
7.6,30.2,54.1,45.5,2.3,3,25.9,-0.89,2.82,0,5,1
2.8,38.4,61.4,47.3,1.5,5,28.7,-0.41,2.84,0,5,0
11.7,74.3,60.2,85.0,1.2,3,54.3,-0.13,3.2,1,2,0
5.0,48.3,82.8,35.5,2.7,2,48.2,0.61,3.04,1,1,0
8.8,35.0,79.8,62.0,4.8,2,70.3,-0.83,2.71,0,8,1
3.6,46.7,41.9,73.8,3.7,4,70.8,0.64,3.19,0,7,0
4.0,46.0,35.7,49.8,3.5,1,35.6,-0.72,1.58,1,8,1
8.3,58.1,62.2,74.8,4.3,6,57.2,-0.38,2.23,0,1,0
7.7,61.4,53.1,37.7,2.3,2,46.4,0.39,2.84,0,6,1
1.3,10.9,43.6,46.7,4.9,2,33.9,-1.77,1.71,1,8,0
7.2,27.3,45.7,39.8,2.8,1,36.4,-1.22,2.35,0,4,0
3.1,84.2,56.9,33.9,1.9,2,76.7,-0.97,2.56,1,7,1
7.6,41.1,78.1,50.2,2.8,3,70.3,-0.08,2.78,0,6,0
12.7,89.1,100.0,100.0,1.2,5,70.1,0.43,4.0,0,4,0
11.2,79.7,61.7,65.4,5.2,3,37.2,0.55,2.76,0,1,0
2.6,27.8,29.8,53.1,5.2,1,30.0,-1.14,1.76,0,7,0
2.7,57.2,44.4,53.4,3.4,3,5.9,-2.29,1.95,0,8,1
4.9,37.5,49.8,35.5,0.7,2,46.7,-0.45,3.09,1,1,0
11.1,49.7,100.0,88.8,2.9,6,77.5,1.32,3.63,1,4,0
5.0,21.7,51.5,56.1,5.0,1,43.0,0.13,2.86,1,8,0
8.9,37.5,62.5,50.7,5.1,6,62.8,-0.35,3.16,1,6,0
